Date,Title,Media Type,URL
2024-12-07,Rocket Engine Fireplace,image,https://apod.nasa.gov/apod/image/2412/NASARocketEngineFireplaceSnap600.png
2024-12-08,Aurora around Saturn's North Pole,image,https://apod.nasa.gov/apod/image/2412/SaturnAurora_Hubble_960.jpg
2024-12-09,Pleiades: The Seven Sisters Star Cluster,image,https://apod.nasa.gov/apod/image/2412/Pleiades_Pelizzo_960.jpg
2024-12-10,The Great Meteor Storm of 1833,image,https://apod.nasa.gov/apod/image/2412/LeonidsWoodcut_Vollmy_960.jpg
2024-12-11,The Shells and Jets of Galaxy Centaurus A,image,https://apod.nasa.gov/apod/image/2412/CenAShellsJets_Olsen_1080.jpg
2024-12-12,Phaethon's Brood,image,https://apod.nasa.gov/apod/image/2412/MSato_Phaethon-and-Geminids-v2.jpg
2024-12-13,M51: Tidal Streams and H-alpha Cliffs,image,https://apod.nasa.gov/apod/image/2412/M51_HaLRGB_APOD1024.jpg
2024-12-14,Apollo 17's Moonship,image,https://apod.nasa.gov/apod/image/2412/AS17-149-22859-2v2SmlWmk1024.jpg
2024-12-15,Geminid Meteors over a Snowy Forest,image,https://apod.nasa.gov/apod/image/2412/Geminids_Kurak_960.jpg
2024-12-16,A Kilometer High Cliff on Comet Churyumov - Gerasimenko,image,https://apod.nasa.gov/apod/image/2412/CometCliffs_Rosetta_960.jpg
2024-12-17,Near to the Heart Nebula,image,https://apod.nasa.gov/apod/image/2412/Heart_HorneEvans_1080.jpg
2024-12-18,NGC 660: Polar Ring Galaxy,image,https://apod.nasa.gov/apod/image/2412/NGC660_Selby_960.jpg
2024-12-19,Messier 2,image,https://apod.nasa.gov/apod/image/2412/potw1913aM2_1024.jpg
2024-12-20,The Long Night Moon,image,https://apod.nasa.gov/apod/image/2412/CoronaLunareRevdgpicc1024.jpg
2024-12-21,A Year in Sunsets,image,https://apod.nasa.gov/apod/image/2412/SunsetYearOmar800.jpg
2024-12-22,The Local Fluff,image,https://apod.nasa.gov/apod/image/2412/LocalCloud_ibex_960.jpg
2024-12-23,Christmas Tree Aurora,image,https://apod.nasa.gov/apod/image/2412/AuroraTree_Zhang_960.jpg
2024-12-24,"Fox Fur, Cone, and Christmas Tree",image,https://apod.nasa.gov/apod/image/2412/ConeTree_White_960.jpg
2024-12-25,Diamond Dust Sky Eye,image,https://apod.nasa.gov/apod/image/2412/IceHalos_Fous_960.jpg
2024-12-26,Grand Spiral NGC 5643,image,https://apod.nasa.gov/apod/image/2412/Hubble_NGC5643_potw2450a1024.jpg
2024-12-27,Planet Earth at Twilight,image,https://apod.nasa.gov/apod/image/2412/ISS002-E-7377_1024c.jpg
2024-12-28,A December Winter Night,image,https://apod.nasa.gov/apod/image/2412/bubak-poland1024.jpg
2024-12-29,Methane Bubbles Frozen in Lake Baikal,image,https://apod.nasa.gov/apod/image/2412/BaikalBubbles_Makeeva_960.jpg
2024-12-30,M27: The Dumbbell Nebula,image,https://apod.nasa.gov/apod/image/2412/M27_Stobie_960.jpg
2024-12-31,The Twisted Disk of NGC 4753,image,https://apod.nasa.gov/apod/image/2412/NGC4753_HubbleReinartz_960.jpg
2025-01-01,Alpha Centauri: The Closest Star System,image,https://apod.nasa.gov/apod/image/2501/AlphaCen_Cantrell_960.jpg
2025-01-02,Solar Analemma 2024,image,https://apod.nasa.gov/apod/image/2501/solaranalemma2024-4-5BetulT1024.jpeg
2025-01-03,Eclipse Pair,image,https://apod.nasa.gov/apod/image/2501/APODEclipsePair1024.jpg
2025-01-04,Welcome to Perihelion,image,https://apod.nasa.gov/apod/image/2501/20250104PeriSolHaNeg1024.jpg
2025-01-05,Rocket Launch as Seen from the International Space Station,video,https://www.youtube.com/embed/B1R3dTdcpSU?rel=0
2025-01-06,Colliding Spiral Galaxies from Webb and Hubble,image,https://apod.nasa.gov/apod/image/2501/CollidingGalaxies_WebbHubble_1080.jpg
2025-01-07,A New Year's Aurora and SAR Arc,image,https://apod.nasa.gov/apod/image/2501/AuroraSar_Masi_960.jpg
2025-01-08,Supernova Remnants Big and Small,image,https://apod.nasa.gov/apod/image/2501/Supernovas_Vetter_960.jpg
2025-01-09,Peculiar Galaxies of Arp 273,image,https://apod.nasa.gov/apod/image/2501/Image171a.jpg
